forest_source,avg_altitude,river_length,In_City,In_Habitat,geometry,id,status1,status2,status3
9944.03526971,1108.32474809,62.4381113915,0,0,"POLYGON ((100.65613168232062 21.559184142687343, 100.60799547628488 21.47580978814989, 100.51172306421358 21.47580978814989, 100.46358685817785 21.559184142687343, 100.51172306421358 21.642558497224854, 100.60799547628488 21.642558497224854, 100.65613168232062 21.559184142687343))",17,none,none,none
9814.62535211,876.673440082,16.939863047,0,0,"POLYGON ((100.80054030042766 21.47580978814989, 100.75240409439192 21.392435433612434, 100.65613168232062 21.392435433612434, 100.60799547628488 21.47580978814989, 100.65613168232062 21.559184142687343, 100.75240409439192 21.559184142687343, 100.80054030042766 21.47580978814989))",18,none,none,none
9955.3427762,1046.35774427,10.2177363049,0,0,"POLYGON ((100.94494891853492 21.559184142687343, 100.89681271249918 21.47580978814989, 100.80054030042766 21.47580978814989, 100.75240409439192 21.559184142687343, 100.80054030042766 21.642558497224854, 100.89681271249918 21.642558497224854, 100.94494891853492 21.559184142687343))",19,none,none,none
9984.51044386,823.749479927,12.8250606519,0,0,"POLYGON ((101.23376615474899 21.559184142687343, 101.18562994871326 21.47580978814989, 101.08935753664196 21.47580978814989, 101.04122133060622 21.559184142687343, 101.08935753664196 21.642558497224854, 101.18562994871326 21.642558497224854, 101.23376615474899 21.559184142687343))",20,none,none,none
9819.48406108,707.315936082,74.4243345141,0,0,"POLYGON ((101.37817477285603 21.47580978814989, 101.33003856682029 21.392435433612434, 101.23376615474899 21.392435433612434, 101.18562994871326 21.47580978814989, 101.23376615474899 21.559184142687343, 101.33003856682029 21.559184142687343, 101.37817477285603 21.47580978814989))",21,none,none,none
9972.84533679,973.143695109,53.1887821807,0,1,"POLYGON ((101.52258339096329 21.559184142687343, 101.47444718492756 21.47580978814989, 101.37817477285603 21.47580978814989, 101.33003856682029 21.559184142687343, 101.37817477285603 21.642558497224854, 101.47444718492756 21.642558497224854, 101.52258339096329 21.559184142687343))",22,none,none,none
9701.73331582,801.674147266,89.8087665445,0,1,"POLYGON ((101.66699200907033 21.47580978814989, 101.61885580303459 21.392435433612434, 101.52258339096329 21.392435433612434, 101.47444718492756 21.47580978814989, 101.52258339096329 21.559184142687343, 101.61885580303459 21.559184142687343, 101.66699200907033 21.47580978814989))",23,none,none,none
9975.58957055,1099.20275708,59.2530917189,0,1,"POLYGON ((101.81140062717736 21.559184142687343, 101.76326442114163 21.47580978814989, 101.66699200907033 21.47580978814989, 101.61885580303459 21.559184142687343, 101.66699200907033 21.642558497224854, 101.76326442114163 21.642558497224854, 101.81140062717736 21.559184142687343))",24,none,none,none
9822.63425345,1103.00543837,21.8946723643,0,0,"POLYGON ((100.07849720989225 21.72593285176231, 100.03036100385651 21.642558497224854, 99.93408859178521 21.642558497224854, 99.88595238574948 21.72593285176231, 99.93408859178521 21.809307206299593, 100.03036100385651 21.809307206299593, 100.07849720989225 21.72593285176231))",25,none,none,none
9912.66137566,966.647449972,32.6074481131,0,0,"POLYGON ((100.22290582799928 21.642558497224854, 100.17476962196355 21.559184142687343, 100.07849720989225 21.559184142687343, 100.03036100385651 21.642558497224854, 100.07849720989225 21.72593285176231, 100.17476962196355 21.72593285176231, 100.22290582799928 21.642558497224854))",26,none,none,none
9907.51139306,1204.18040081,58.7492689512,0,0,"POLYGON ((100.36731444610632 21.72593285176231, 100.31917824007058 21.642558497224854, 100.22290582799928 21.642558497224854, 100.17476962196372 21.72593285176231, 100.22290582799928 21.809307206299593, 100.31917824007058 21.809307206299593, 100.36731444610632 21.72593285176231))",27,none,none,none
9758.42169935,1443.85814844,63.0015506962,0,0,"POLYGON ((100.51172306421358 21.642558497224854, 100.46358685817785 21.559184142687343, 100.36731444610632 21.559184142687343, 100.31917824007058 21.642558497224854, 100.36731444610632 21.72593285176231, 100.46358685817785 21.72593285176231, 100.51172306421358 21.642558497224854))",28,none,none,none
9804.74507261,1428.48776493,60.276232167,0,0,"POLYGON ((100.65613168232062 21.72593285176231, 100.60799547628488 21.642558497224854, 100.51172306421358 21.642558497224854, 100.46358685817785 21.72593285176231, 100.51172306421358 21.809307206299593, 100.60799547628488 21.809307206299593, 100.65613168232062 21.72593285176231))",29,none,none,none
9837.73336839,743.160791215,86.2714737532,0,0,"POLYGON ((100.80054030042766 21.642558497224854, 100.75240409439192 21.559184142687343, 100.65613168232062 21.559184142687343, 100.60799547628488 21.642558497224854, 100.65613168232062 21.72593285176231, 100.75240409439192 21.72593285176231, 100.80054030042766 21.642558497224854))",30,start,start,start
9957.31508412,780.356338505,53.9009183837,0,0,"POLYGON ((100.94494891853492 21.72593285176231, 100.89681271249918 21.642558497224854, 100.80054030042766 21.642558497224854, 100.75240409439192 21.72593285176231, 100.80054030042766 21.809307206299593, 100.89681271249918 21.809307206299593, 100.94494891853492 21.72593285176231))",31,via,via,via
9980.57358491,681.480079439,3.33437179873,0,0,"POLYGON ((101.08935753664196 21.642558497224854, 101.04122133060622 21.559184142687343, 100.94494891853492 21.559184142687343, 100.89681271249918 21.642558497224854, 100.94494891853492 21.72593285176231, 101.04122133060622 21.72593285176231, 101.08935753664196 21.642558497224854))",32,none,none,none
9968.31125559,914.113523326,32.3971305659,0,0,"POLYGON ((101.23376615474899 21.72593285176231, 101.18562994871326 21.642558497224854, 101.08935753664196 21.642558497224854, 101.04122133060622 21.72593285176231, 101.08935753664196 21.809307206299593, 101.18562994871326 21.809307206299593, 101.23376615474899 21.72593285176231))",33,none,none,none
9975.14737675,815.359577142,63.5683612112,0,0,"POLYGON ((101.37817477285603 21.642558497224854, 101.33003856682029 21.559184142687343, 101.23376615474899 21.559184142687343, 101.18562994871326 21.642558497224854, 101.23376615474899 21.72593285176231, 101.33003856682029 21.72593285176231, 101.37817477285603 21.642558497224854))",34,none,none,none
9969.02898551,1201.04119574,53.1784845832,0,1,"POLYGON ((101.52258339096329 21.72593285176231, 101.47444718492756 21.642558497224854, 101.37817477285603 21.642558497224854, 101.33003856682029 21.72593285176231, 101.37817477285603 21.809307206299593, 101.47444718492756 21.809307206299593, 101.52258339096329 21.72593285176231))",35,none,none,none
9983.19033791,999.410856068,74.9787071905,0,1,"POLYGON ((101.66699200907033 21.642558497224854, 101.61885580303459 21.559184142687343, 101.52258339096329 21.559184142687343, 101.47444718492756 21.642558497224854, 101.52258339096329 21.72593285176231, 101.61885580303459 21.72593285176231, 101.66699200907033 21.642558497224854))",36,none,none,none
9967.96092529,1047.54697253,51.4479174311,0,1,"POLYGON ((101.81140062717736 21.72593285176231, 101.76326442114163 21.642558497224854, 101.66699200907033 21.642558497224854, 101.61885580303459 21.72593285176231, 101.66699200907033 21.809307206299593, 101.76326442114163 21.809307206299593, 101.81140062717736 21.72593285176231))",37,none,none,none
9796.40952381,1312.77195424,8.3454175386,0,1,"POLYGON ((101.95580924528446 21.642558497224854, 101.90767303924889 21.559184142687343, 101.81140062717736 21.559184142687343, 101.76326442114163 21.642558497224854, 101.81140062717736 21.72593285176231, 101.90767303924889 21.72593285176231, 101.95580924528446 21.642558497224854))",38,none,none,none
9934.45641026,1214.37574903,35.3753868657,0,0,"POLYGON ((100.07849720989225 21.892681560837048, 100.03036100385651 21.809307206299593, 99.93408859178521 21.809307206299593, 99.88595238574948 21.892681560837048, 99.93408859178521 21.976055915374502, 100.03036100385651 21.976055915374502, 100.07849720989225 21.892681560837048))",39,none,none,none
9920.54086912,1485.48904239,46.7642793387,0,0,"POLYGON ((100.22290582799928 21.809307206299593, 100.17476962196355 21.72593285176231, 100.07849720989225 21.72593285176231, 100.03036100385651 21.809307206299593, 100.07849720989225 21.892681560837048, 100.17476962196355 21.892681560837048, 100.22290582799928 21.809307206299593))",40,none,none,none
9844.07784591,1402.19060563,79.2290652996,0,0,"POLYGON ((100.36731444610632 21.892681560837048, 100.31917824007058 21.809307206299593, 100.22290582799928 21.809307206299593, 100.17476962196372 21.892681560837048, 100.22290582799928 21.976055915374502, 100.31917824007058 21.976055915374502, 100.36731444610632 21.892681560837048))",41,none,none,none
9778.76667539,1424.75509256,69.2233702268,0,0,"POLYGON ((100.51172306421358 21.809307206299593, 100.46358685817785 21.72593285176231, 100.36731444610632 21.72593285176231, 100.31917824007058 21.809307206299593, 100.36731444610632 21.892681560837048, 100.46358685817785 21.892681560837048, 100.51172306421358 21.809307206299593))",42,none,none,none
9861.37853403,1552.71380948,46.1032998493,0,0,"POLYGON ((100.65613168232062 21.892681560837048, 100.60799547628488 21.809307206299593, 100.51172306421358 21.809307206299593, 100.46358685817785 21.892681560837048, 100.51172306421358 21.976055915374502, 100.60799547628488 21.976055915374502, 100.65613168232062 21.892681560837048))",43,none,none,none
9914.92977455,1153.54338503,50.7384584232,0,0,"POLYGON ((100.80054030042766 21.809307206299593, 100.75240409439192 21.72593285176231, 100.65613168232062 21.72593285176231, 100.60799547628488 21.809307206299593, 100.65613168232062 21.892681560837048, 100.75240409439192 21.892681560837048, 100.80054030042766 21.809307206299593))",44,none,none,none
9752.35565635,695.30565243,44.1182921021,0,1,"POLYGON ((100.94494891853492 21.892681560837048, 100.89681271249918 21.809307206299593, 100.80054030042766 21.809307206299593, 100.75240409439192 21.892681560837048, 100.80054030042766 21.976055915374502, 100.89681271249918 21.976055915374502, 100.94494891853492 21.892681560837048))",45,via,via,none
9771.42706645,776.118201272,68.5995216048,0,0,"POLYGON ((101.08935753664196 21.809307206299593, 101.04122133060622 21.72593285176231, 100.94494891853492 21.72593285176231, 100.89681271249918 21.809307206299593, 100.94494891853492 21.892681560837048, 101.04122133060622 21.892681560837048, 101.08935753664196 21.809307206299593))",46,none,none,via
9922.29134894,938.159631381,47.1427474085,0,1,"POLYGON ((101.23376615474899 21.892681560837048, 101.18562994871326 21.809307206299593, 101.08935753664196 21.809307206299593, 101.04122133060622 21.892681560837048, 101.08935753664196 21.976055915374502, 101.18562994871326 21.976055915374502, 101.23376615474899 21.892681560837048))",47,none,none,via
9965.75429464,977.008753963,56.9524131427,0,1,"POLYGON ((101.37817477285603 21.809307206299593, 101.33003856682029 21.72593285176231, 101.23376615474899 21.72593285176231, 101.18562994871326 21.809307206299593, 101.23376615474899 21.892681560837048, 101.33003856682029 21.892681560837048, 101.37817477285603 21.809307206299593))",48,none,none,none
9959.30065531,894.264328872,43.6349374894,0,0,"POLYGON ((101.52258339096329 21.892681560837048, 101.47444718492756 21.809307206299593, 101.37817477285603 21.809307206299593, 101.33003856682029 21.892681560837048, 101.37817477285603 21.976055915374502, 101.47444718492756 21.976055915374502, 101.52258339096329 21.892681560837048))",49,none,none,none
9958.34402483,1067.81437817,63.3736694186,0,1,"POLYGON ((101.66699200907033 21.809307206299593, 101.61885580303459 21.72593285176231, 101.52258339096329 21.72593285176231, 101.47444718492756 21.809307206299593, 101.52258339096329 21.892681560837048, 101.61885580303459 21.892681560837048, 101.66699200907033 21.809307206299593))",50,none,none,none
